,period,state,stateName,timePeriod,sector,sectorName,all-other-costs,customer-incentive,energy-savings,potential-peak-savings,all-other-costs-units,customer-incentive-units,energy-savings-units,potential-peak-savings-units
0,2022,US,United States,Expected Life Cycle of Programs,RES,residential,1110656,1644822,113782935,2294.2,thousand dollars,thousand dollars,megawatthours,megawatts
1,2022,TX,Texas,Expected Life Cycle of Programs,RES,residential,16065,92413,6561078,120.2,thousand dollars,thousand dollars,megawatthours,megawatts
2,2022,TN,Tennessee,Expected Life Cycle of Programs,RES,residential,19938,1,120517,2.1,thousand dollars,thousand dollars,megawatthours,megawatts
3,2022,SD,South Dakota,Expected Life Cycle of Programs,RES,residential,586,463,90994,58.5,thousand dollars,thousand dollars,megawatthours,megawatts
4,2022,SC,South Carolina,Expected Life Cycle of Programs,RES,residential,6245,21400,1469839,42.5,thousand dollars,thousand dollars,megawatthours,megawatts
5,2022,RI,Rhode Island,Expected Life Cycle of Programs,RES,residential,11912,28034,255018,6.6,thousand dollars,thousand dollars,megawatthours,megawatts
6,2022,PA,Pennsylvania,Expected Life Cycle of Programs,RES,residential,26094,40165,3045470,43.6,thousand dollars,thousand dollars,megawatthours,megawatts
7,2022,OR,Oregon,Expected Life Cycle of Programs,RES,residential,15281,25794,1313810,25,thousand dollars,thousand dollars,megawatthours,megawatts
8,2022,OK,Oklahoma,Expected Life Cycle of Programs,RES,residential,11070,22493,1689139,24,thousand dollars,thousand dollars,megawatthours,megawatts
9,2022,OH,Ohio,Expected Life Cycle of Programs,RES,residential,439,7386,102036,2.1,thousand dollars,thousand dollars,megawatthours,megawatts
10,2022,NY,New York,Expected Life Cycle of Programs,RES,residential,62817,186998,11845312,122.3,thousand dollars,thousand dollars,megawatthours,megawatts
11,2022,NV,Nevada,Expected Life Cycle of Programs,RES,residential,9741,3517,147555,7.8,thousand dollars,thousand dollars,megawatthours,megawatts
12,2022,NM,New Mexico,Expected Life Cycle of Programs,RES,residential,8991,11607,1474699,17.1,thousand dollars,thousand dollars,megawatthours,megawatts
13,2022,NJ,New Jersey,Expected Life Cycle of Programs,RES,residential,95322,192650,9281362,58.7,thousand dollars,thousand dollars,megawatthours,megawatts
14,2022,NH,New Hampshire,Expected Life Cycle of Programs,RES,residential,3687,17667,170191,3.5,thousand dollars,thousand dollars,megawatthours,megawatts
15,2022,NE,Nebraska,Expected Life Cycle of Programs,RES,residential,691,3237,108404,3.6,thousand dollars,thousand dollars,megawatthours,megawatts
16,2022,ND,North Dakota,Expected Life Cycle of Programs,RES,residential,13,27,635,.4,thousand dollars,thousand dollars,megawatthours,megawatts
17,2022,NC,North Carolina,Expected Life Cycle of Programs,RES,residential,26928,43377,4671885,146.5,thousand dollars,thousand dollars,megawatthours,megawatts
18,2022,MT,Montana,Expected Life Cycle of Programs,RES,residential,4013,1658,312917,1.1,thousand dollars,thousand dollars,megawatthours,megawatts
19,2022,MS,Mississippi,Expected Life Cycle of Programs,RES,residential,6085,8485,521973,11.1,thousand dollars,thousand dollars,megawatthours,megawatts
20,2022,MO,Missouri,Expected Life Cycle of Programs,RES,residential,24635,30751,1750568,43.2,thousand dollars,thousand dollars,megawatthours,megawatts
21,2022,MN,Minnesota,Expected Life Cycle of Programs,RES,residential,26208,28357,5528291,82.1,thousand dollars,thousand dollars,megawatthours,megawatts
22,2022,MI,Michigan,Expected Life Cycle of Programs,RES,residential,114492,34463,2899258,65.9,thousand dollars,thousand dollars,megawatthours,megawatts
23,2022,ME,Maine,Expected Life Cycle of Programs,RES,residential,6973,26326,1706434,9.4,thousand dollars,thousand dollars,megawatthours,megawatts
24,2022,MD,Maryland,Expected Life Cycle of Programs,RES,residential,44587,76839,2005686,109.1,thousand dollars,thousand dollars,megawatthours,megawatts
25,2022,MA,Massachusetts,Expected Life Cycle of Programs,RES,residential,49443,132802,626413,21.9,thousand dollars,thousand dollars,megawatthours,megawatts
26,2022,LA,Louisiana,Expected Life Cycle of Programs,RES,residential,5914,9844,1006362,15.2,thousand dollars,thousand dollars,megawatthours,megawatts
27,2022,KY,Kentucky,Expected Life Cycle of Programs,RES,residential,2382,1472,261188,3.1,thousand dollars,thousand dollars,megawatthours,megawatts
28,2022,KS,Kansas,Expected Life Cycle of Programs,RES,residential,62,97,771,.1,thousand dollars,thousand dollars,megawatthours,megawatts
29,2022,IN,Indiana,Expected Life Cycle of Programs,RES,residential,29922,12983,1506313,49.8,thousand dollars,thousand dollars,megawatthours,megawatts
30,2022,IL,Illinois,Expected Life Cycle of Programs,RES,residential,65063,120742,12215018,147.3,thousand dollars,thousand dollars,megawatthours,megawatts
31,2022,ID,Idaho,Expected Life Cycle of Programs,RES,residential,8739,2552,352748,82.7,thousand dollars,thousand dollars,megawatthours,megawatts
32,2022,IA,Iowa,Expected Life Cycle of Programs,RES,residential,9075,8280,558478,16.3,thousand dollars,thousand dollars,megawatthours,megawatts
33,2022,HI,Hawaii,Expected Life Cycle of Programs,RES,residential,4484,7502,481034,8.1,thousand dollars,thousand dollars,megawatthours,megawatts
